[2026-04-14 15:25:19,815][Train_Process.py] P136_lower_img.nii.gz dice=0.5242
[2026-04-14 15:25:25,820][Train_Process.py] P137_lower_img.nii.gz dice=0.7489
[2026-04-14 15:25:29,335][Train_Process.py] P138_lower_img.nii.gz dice=0.6090
[2026-04-14 15:25:34,690][Train_Process.py] P139_lower_img.nii.gz dice=0.6203
[2026-04-14 15:25:39,707][Train_Process.py] P140_lower_img.nii.gz dice=0.6890
[2026-04-14 15:25:50,015][Train_Process.py] P141_lower_img.nii.gz dice=0.7115
[2026-04-14 15:25:54,091][Train_Process.py] P142_lower_img.nii.gz dice=0.6526
[2026-04-14 15:25:59,015][Train_Process.py] P143_lower_img.nii.gz dice=0.6736
[2026-04-14 15:26:05,084][Train_Process.py] P144_lower_img.nii.gz dice=0.7669
[2026-04-14 15:26:14,730][Train_Process.py] P145_lower_img.nii.gz dice=0.7873
[2026-04-14 15:26:24,353][Train_Process.py] P146_lower_img.nii.gz dice=0.7732
[2026-04-14 15:26:27,057][Train_Process.py] P147_lower_img.nii.gz dice=0.4532
[2026-04-14 15:26:37,427][Train_Process.py] P148_lower_img.nii.gz dice=0.7691
[2026-04-14 15:26:42,227][Train_Process.py] P149_lower_img.nii.gz dice=0.6466
[2026-04-14 15:26:47,720][Train_Process.py] P150_lower_img.nii.gz dice=0.7291
[2026-04-14 15:26:52,987][Train_Process.py] P151_lower_img.nii.gz dice=0.6555
[2026-04-14 15:26:58,538][Train_Process.py] P152_lower_img.nii.gz dice=0.7291
[2026-04-14 15:27:01,101][Train_Process.py] P153_lower_img.nii.gz dice=0.6047
[2026-04-14 15:27:03,753][Train_Process.py] P154_lower_img.nii.gz dice=0.5860
[2026-04-14 15:27:13,099][Train_Process.py] P155_lower_img.nii.gz dice=0.7677
[2026-04-14 15:27:22,429][Train_Process.py] P156_lower_img.nii.gz dice=0.7451
[2026-04-14 15:27:33,360][Train_Process.py] P157_lower_img.nii.gz dice=0.8039
[2026-04-14 15:27:37,362][Train_Process.py] P158_lower_img.nii.gz dice=0.6629
[2026-04-14 15:27:40,129][Train_Process.py] P159_lower_img.nii.gz dice=0.5268
[2026-04-14 15:27:45,679][Train_Process.py] P160_lower_img.nii.gz dice=0.6824
[2026-04-14 15:27:50,789][Train_Process.py] P161_lower_img.nii.gz dice=0.7025
[2026-04-14 15:27:55,830][Train_Process.py] P162_lower_img.nii.gz dice=0.6604
[2026-04-14 15:28:01,133][Train_Process.py] P163_lower_img.nii.gz dice=0.7556
[2026-04-14 15:28:06,215][Train_Process.py] P164_lower_img.nii.gz dice=0.7095
[2026-04-14 15:28:10,645][Train_Process.py] P165_lower_img.nii.gz dice=0.6828
[2026-04-14 15:28:20,234][Train_Process.py] P166_lower_img.nii.gz dice=0.8046
[2026-04-14 15:28:25,534][Train_Process.py] P167_lower_img.nii.gz dice=0.7285
[2026-04-14 15:28:32,579][Train_Process.py] P168_lower_img.nii.gz dice=0.7585
[2026-04-14 15:28:37,265][Train_Process.py] P169_lower_img.nii.gz dice=0.7214
[2026-04-14 15:28:42,852][Train_Process.py] P170_lower_img.nii.gz dice=0.6172
[2026-04-14 15:28:45,315][Train_Process.py] P171_lower_img.nii.gz dice=0.6851
[2026-04-14 15:28:50,829][Train_Process.py] P172_lower_img.nii.gz dice=0.6941
[2026-04-14 15:28:50,913][Train_Process.py] Epoch:[110/150]  lr=0.000064  loss=0.41282  dice_e=0.6164 max_dice=0.6833
[2026-04-14 15:34:07,744][Train_Process.py] Epoch:[111/150]  lr=0.000064  loss=0.42034  dice_e=0.6073 max_dice=0.6833
